,year,runtime,certificate,genre,rating,metascore,votes,gross
year,1.0,0.07775501931379453,0.18809545657979343,0.053710227382164646,0.1292625610727163,0.0005155485573780015,0.0750801341944519,0.04541801437180413
runtime,0.07775501931379453,1.0,0.10315127110477935,0.16376963296130098,0.26225978428399976,0.06655563189999851,0.19933635433837474,0.19137301129694728
certificate,0.18809545657979343,0.10315127110477935,1.0,0.14540893083341377,-0.016861995878599892,-0.06615442691218085,-0.02812361346891159,-0.043603824410090614
genre,0.053710227382164646,0.16376963296130098,0.14540893083341377,1.0,0.26700883745589765,0.04021354166850142,0.2390597245895526,0.22973749452181852
rating,0.1292625610727163,0.26225978428399976,-0.016861995878599892,0.26700883745589765,1.0,0.2829015437104023,0.9299594065453305,0.8703160542826451
metascore,0.0005155485573780015,0.06655563189999851,-0.06615442691218085,0.04021354166850142,0.2829015437104023,1.0,0.257810329198301,0.25425849207553874
votes,0.0750801341944519,0.19933635433837474,-0.02812361346891159,0.2390597245895526,0.9299594065453305,0.257810329198301,1.0,0.913653353572974
gross,0.04541801437180413,0.19137301129694728,-0.043603824410090614,0.22973749452181852,0.8703160542826451,0.25425849207553874,0.913653353572974,1.0
